id,name,national_dex_number,category,types,hp,attack,defense,sp_atk,sp_def,speed,evolution_prev,evolution_next,abilities,image_path,gender_ratio,created_at,form_image_paths
1,Bulbasaur,1,Seed Pokémon,"[""Grass"", ""Poison""]",45,49,49,65,65,45,,Ivysaur,"[{""name"": ""Overgrow"", ""is_hidden"": false}, {""name"": ""Chlorophyll"", ""is_hidden"": true}]",images/Bulbasaur.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,
2,Ivysaur,2,Seed Pokémon,"[""Grass"", ""Poison""]",60,62,63,80,80,60,Bulbasaur,Venusaur,"[{""name"": ""Overgrow"", ""is_hidden"": false}, {""name"": ""Chlorophyll"", ""is_hidden"": true}]",images/Ivysaur.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,
3,Venusaur,3,Seed Pokémon,"[""Grass"", ""Poison""]",80,82,83,100,100,80,Ivysaur,,"[{""name"": ""Overgrow"", ""is_hidden"": false}, {""name"": ""Chlorophyll"", ""is_hidden"": true}, {""name"": ""Thick Fat"", ""is_hidden"": false}]",images/Venusaur_Venusaur.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,"{""Venusaur"": ""images/Venusaur_Venusaur.png"", ""Mega_Venusaur"": ""images/Venusaur_Mega_Venusaur.png""}"
4,Charmander,4,Lizard Pokémon,"[""Fire""]",39,52,43,60,50,65,,Charmeleon,"[{""name"": ""Blaze"", ""is_hidden"": false}, {""name"": ""Solar Power"", ""is_hidden"": true}]",images/Charmander.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,
5,Charmeleon,5,Flame Pokémon,"[""Fire""]",58,64,58,80,65,80,Charmander,Charizard,"[{""name"": ""Blaze"", ""is_hidden"": false}, {""name"": ""Solar Power"", ""is_hidden"": true}]",images/Charmeleon.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,
6,Charizard,6,Flame Pokémon,"[""Fire"", ""Flying""]",78,84,78,109,85,100,Charmeleon,,"[{""name"": ""Blaze"", ""is_hidden"": false}, {""name"": ""Solar Power"", ""is_hidden"": true}, {""name"": ""Tough Claws"", ""is_hidden"": false}, {""name"": ""Drought"", ""is_hidden"": false}]",images/Charizard_Charizard.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,"{""Charizard"": ""images/Charizard_Charizard.png"", ""Mega_Charizard_X"": ""images/Charizard_Mega_Charizard_X.png"", ""Mega_Charizard_Y"": ""images/Charizard_Mega_Charizard_Y.png""}"
7,Squirtle,7,Tiny Turtle Pokémon,"[""Water""]",44,48,65,50,64,43,,Wartortle,"[{""name"": ""Torrent"", ""is_hidden"": false}, {""name"": ""Rain Dish"", ""is_hidden"": true}]",images/Squirtle.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,
8,Wartortle,8,Turtle Pokémon,"[""Water""]",59,63,80,65,80,58,Squirtle,Blastoise,"[{""name"": ""Torrent"", ""is_hidden"": false}, {""name"": ""Rain Dish"", ""is_hidden"": true}]",images/Wartortle.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,
9,Blastoise,9,Shellfish Pokémon,"[""Water""]",79,83,100,85,105,78,Wartortle,,"[{""name"": ""Torrent"", ""is_hidden"": false}, {""name"": ""Rain Dish"", ""is_hidden"": true}, {""name"": ""Mega Launcher"", ""is_hidden"": false}]",images/Blastoise_Blastoise.png,"{""male"": 87.5, ""female"": 12.5}",2026-02-28 03:16:50,"{""Blastoise"": ""images/Blastoise_Blastoise.png"", ""Mega_Blastoise"": ""images/Blastoise_Mega_Blastoise.png""}"
10,Caterpie,10,Worm Pokémon,"[""Bug""]",45,30,35,20,20,45,,Metapod,"[{""name"": ""Shield Dust"", ""is_hidden"": false}, {""name"": ""Run Away"", ""is_hidden"": true}]",images/Caterpie.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
11,Metapod,11,Cocoon Pokémon,"[""Bug""]",50,20,55,25,25,30,Caterpie,Butterfree,[],images/Metapod.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
12,Butterfree,12,Butterfly Pokémon,"[""Bug"", ""Flying""]",60,45,50,80,80,70,Metapod,,"[{""name"": ""Compound Eyes"", ""is_hidden"": false}, {""name"": ""Tinted Lens"", ""is_hidden"": true}]",images/Butterfree.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
13,Weedle,13,Hairy Bug Pokémon,"[""Bug"", ""Poison""]",40,35,30,20,20,50,,Kakuna,"[{""name"": ""Shield Dust"", ""is_hidden"": false}, {""name"": ""Run Away"", ""is_hidden"": true}]",images/Weedle.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
14,Kakuna,14,Cocoon Pokémon,"[""Bug"", ""Poison""]",45,25,50,25,25,35,Weedle,Beedrill,[],images/Kakuna.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
15,Beedrill,15,Poison Bee Pokémon,"[""Bug"", ""Poison""]",65,80,40,45,80,75,Kakuna,,"[{""name"": ""Swarm"", ""is_hidden"": false}, {""name"": ""Sniper"", ""is_hidden"": true}, {""name"": ""Adaptability"", ""is_hidden"": false}]",images/Beedrill_Beedrill.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,"{""Beedrill"": ""images/Beedrill_Beedrill.png"", ""Mega_Beedrill"": ""images/Beedrill_Mega_Beedrill.png""}"
16,Pidgey,16,Tiny Bird Pokémon,"[""Normal"", ""Flying""]",40,45,40,35,35,56,,Pidgeotto,"[{""name"": ""Keen Eye"", ""is_hidden"": false}, {""name"": ""Tangled Feet"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Big Pecks"", ""is_hidden"": true}]",images/Pidgey.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
17,Pidgeotto,17,Bird Pokémon,"[""Normal"", ""Flying""]",63,60,55,50,50,71,Pidgey,Pidgeot,"[{""name"": ""Keen Eye"", ""is_hidden"": false}, {""name"": ""Tangled Feet"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Big Pecks"", ""is_hidden"": true}]",images/Pidgeotto.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
18,Pidgeot,18,Bird Pokémon,"[""Normal"", ""Flying""]",83,80,75,70,70,91,Pidgeotto,,"[{""name"": ""Keen Eye"", ""is_hidden"": false}, {""name"": ""Tangled Feet"", ""is_hidden"": false}, {""name"": ""Gen IV+"", ""is_hidden"": false}, {""name"": ""Big Pecks"", ""is_hidden"": true}, {""name"": ""No Guard"", ""is_hidden"": false}]",images/Pidgeot_Pidgeot.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,"{""Pidgeot"": ""images/Pidgeot_Pidgeot.png"", ""Mega_Pidgeot"": ""images/Pidgeot_Mega_Pidgeot.png""}"
19,Rattata,19,Mouse Pokémon,"[""Normal"", ""Dark""]",30,56,35,25,35,72,,Raticate,"[{""name"": ""Run Away"", ""is_hidden"": false}, {""name"": ""Guts"", ""is_hidden"": false}, {""name"": ""Gluttony"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": true}, {""name"": ""Thick Fat"", ""is_hidden"": true}]",images/Rattata.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
20,Raticate,20,Mouse Pokémon,"[""Normal"", ""Dark""]",55,81,60,50,70,97,Rattata,Rattata (Alolan),"[{""name"": ""Run Away"", ""is_hidden"": false}, {""name"": ""Guts"", ""is_hidden"": false}, {""name"": ""Gluttony"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": false}, {""name"": ""Hustle"", ""is_hidden"": true}, {""name"": ""Thick Fat"", ""is_hidden"": true}]",images/Raticate.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
21,Spearow,21,Tiny Bird Pokémon,"[""Normal"", ""Flying""]",40,60,30,31,31,70,,Fearow,"[{""name"": ""Keen Eye"", ""is_hidden"": false}, {""name"": ""Sniper"", ""is_hidden"": true}]",images/Spearow.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
22,Fearow,22,Beak Pokémon,"[""Normal"", ""Flying""]",65,90,65,61,61,100,Spearow,,"[{""name"": ""Keen Eye"", ""is_hidden"": false}, {""name"": ""Sniper"", ""is_hidden"": true}]",images/Fearow.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
23,Ekans,23,Snake Pokémon,"[""Poison""]",35,60,44,40,54,55,,Arbok,"[{""name"": ""Intimidate"", ""is_hidden"": false}, {""name"": ""Shed Skin"", ""is_hidden"": false}, {""name"": ""Unnerve"", ""is_hidden"": true}]",images/Ekans.png,"{""male"": 50.0, ""female"": 50.0}",2026-02-28 03:16:50,
